"id","survey_pattern","created_at","gender","age","occupation","residence","residence_detail","visit_purpose_list","interested_sdgs_goal","current_sdgs_actions","sdgs_action_trigger","future_sdgs_interest","future_sdgs_actions","content_satisfaction","memorable_booth","learning_moments","learning_moments_detail","okayama_focus_areas","okayama_focus_other","sdgs_challenges","improvements"
"7","heavy","2025-08-07 01:15:41.933162+00","男性","20代","学生","岡山県内","岡山市北区","[""展示見学""]","8. 働きがいも経済成長も","[""公共交通機関の利用"",""マイバッグ・マイボトルの使用"",""フードロス削減"",""ゴミ分別"",""寄付・ボランティア"",""節電・節水""]","自然な流れ。","いいえ",,"{""全体"":""3"",""その他（ステンレスボトル回収・マイボトル持参など）"":""3"",""飲食"":""3"",""ワークショップ"":""3"",""ステージ"":""3"",""展示"":""3""}","30：NPO法人公共の交通ラクダRACDA","はい",,"[""健康・福祉・貧困"",""多様性・共生社会""]",,"やりやすいことから、1つずつ
やればいい。",""
"8","heavy","2025-08-07 02:07:27.784437+00","女性","30代","教職員","岡山県内","岡山市北区","[""ワークショップ""]","4. 質の高い教育をみんなに","[""マイバッグ・マイボトルの使用"",""公共交通機関の利用""]","自分の生活に合っていたから","はい",,"{""展示"":""5"",""ステージ"":""5"",""ワークショップ"":""5"",""飲食"":""5"",""その他（ステンレスボトル回収・マイボトル持参など）"":""5"",""全体"":""5""}","23：エシカルファッション協議会","はい",,"[""エシカル消費""]",,"継続的な活動になること",""
"9","heavy","2025-08-07 03:11:26.205579+00","女性","60代","主婦","岡山県内","岡山市東区","[""展示見学""]","16. 平和と公正をすべての人に","[""ゴミ分別"",""マイバッグ・マイボトルの使用"",""節電・節水""]","自然を護りたい。","はい","節水、節電","{""展示"":""4"",""ステージ"":""4"",""ワークショップ"":""4"",""飲食"":""4"",""その他（ステンレスボトル回収・マイボトル持参など）"":""4"",""全体"":""4""}","32：岡山ダイハツ販売株式会社","はい",,"[""健康・福祉・貧困"",""防災など安全・安心な社会""]",,"いろんな自然を護りたい",""
"10","heavy","2025-08-07 03:13:08.490587+00","女性","30代","主婦","岡山県内","岡山市北区","[""ワークショップ""]","14. 海の豊かさを守ろう","[""特になし""]","イベント","はい",,"{""展示"":""3"",""ステージ"":""3"",""ワークショップ"":""4"",""飲食"":""3"",""その他（ステンレスボトル回収・マイボトル持参など）"":""3"",""全体"":""4""}","78：山陽新聞社","はい",,"[""海ごみ問題""]",,"エコ",""
"11","heavy","2025-08-07 03:13:21.676064+00","女性","60代","アルバイト","岡山県内","岡山市","[""展示見学""]","13. 気候変動に具体的な対策を","[""節電・節水"",""フードロス削減"",""地産地消"",""ゴミ分別"",""寄付・ボランティア"",""その他""]","特にないが自然に","いいえ",,"{""展示"":""4"",""ステージ"":""3"",""ワークショップ"":""3"",""飲食"":""3"",""その他（ステンレスボトル回収・マイボトル持参など）"":""3"",""全体"":""4""}","60：株式会社ありがとうファーム","いいえ",,"[""海ごみ問題"",""防災など安全・安心な社会"",""クリーンエネルギーへの転換"",""健康・福祉・貧困"",""環境保全"",""多様性・共生社会""]",,"意識を持っている人と興味のない方のおんどさが大きく興味のない方に向けての広報はどうすればいいのか","色々勉強になりました
新たに知ったこともたくさんありよかった"
"12","heavy","2025-08-07 03:13:23.900069+00","男性","中学生以下","学生","岡山県内","岡山市北区","[""ワークショップ""]","3. すべての人に健康と福祉を","[""節電・節水"",""フードロス削減"",""マイバッグ・マイボトルの使用"",""ゴミ分別""]","イベント","いいえ",,"{""展示"":""5"",""ステージ"":""5"",""ワークショップ"":""5"",""飲食"":""5"",""その他（ステンレスボトル回収・マイボトル持参など）"":""5"",""全体"":""5""}","4：DOWAグループ","いいえ",,"[""海ごみ問題"",""森林の有効活用"",""健康・福祉・貧困"",""フードロス""]",,"エコ",""
"13","heavy","2025-08-07 03:14:36.551875+00","女性","大学生","学生","岡山県内","岡山市北区","[""その他""]","5. ジェンダー平等を実現しよう","[""マイバッグ・マイボトルの使用""]","レジ袋が有料になったから","はい",,"{""展示"":""5"",""ステージ"":""5"",""飲食"":""5"",""その他（ステンレスボトル回収・マイボトル持参など）"":""5"",""全体"":""5"",""ワークショップ"":""5""}","55：岡山大学　OU!万博","はい",,"[""フードロス""]",,"sdgsに関する知識がない",""
"14","heavy","2025-08-07 03:14:57.623753+00","女性","大学生","学生","岡山県外","広島県福山市","[""ワークショップ""]","3. すべての人に健康と福祉を","[""マイバッグ・マイボトルの使用""]","有料化","はい",,"{""展示"":""5"",""ワークショップ"":""5"",""ステージ"":""5"",""その他（ステンレスボトル回収・マイボトル持参など）"":""5"",""飲食"":""5"",""全体"":""5""}","55：岡山大学　OU!万博","はい",,"[""クリーンエネルギーへの転換"",""健康・福祉・貧困""]",,"地球温暖化が激しいので、止めなければならないと思ってます。",""
"15","heavy","2025-08-07 03:15:09.854747+00","男性","大学生","学生","岡山県内","岡山市","[""ワークショップ""]","7. エネルギーをみんなにそしてクリーンに","[""節電・節水""]","学校の授業","はい",,"{""展示"":""5"",""ワークショップ"":""5"",""ステージ"":""5"",""飲食"":""5"",""その他（ステンレスボトル回収・マイボトル持参など）"":""5"",""全体"":""5""}","55：岡山大学　OU!万博","はい",,"[""防災など安全・安心な社会""]",,"岡山市のごみの分別がまだ完全には普及していない",""
"16","heavy","2025-08-07 03:15:22.13563+00","女性","70代以上","主婦","岡山県内","岡山市東区草ヶ部","[""展示見学""]","3. すべての人に健康と福祉を","[""節電・節水"",""公共交通機関の利用"",""地産地消"",""マイバッグ・マイボトルの使用"",""ゴミ分別""]","結婚して主婦になったからです。","はい","節電節水","{""展示"":""4"",""ステージ"":""4"",""ワークショップ"":""3"",""飲食"":""3"",""その他（ステンレスボトル回収・マイボトル持参など）"":""4"",""全体"":""4""}","32：岡山ダイハツ販売株式会社","はい","シニアカーの試乗","[""防災など安全・安心な社会""]",,"資金の調達","フードコーナーをもう少し増やして欲しい。"
